nome,idade,salario
Cliente263,48,4260
Cliente264,49,
Cliente265,,3150
,46,3890
Cliente267,52,4340
Cliente268,53,4360
Cliente269,54,4380
Cliente270,,3200
Cliente271,56,4420
Cliente272,57,4440
,53,3995
Cliente274,59,4480
Cliente275,,3250
Cliente276,61,4520
Cliente277,62,4540
Cliente278,63,4560
Cliente279,64,4580
Cliente280,,3300
Cliente281,26,4620
Cliente282,27,4640
Cliente283,28,4660
Cliente284,29,4680
Cliente285,,3350
Cliente286,41,
,27,4205
Cliente288,33,4760
Cliente289,34,4780
Cliente290,,3400
Cliente291,36,4820
Cliente292,37,4840
Cliente293,38,4860
,34,4310
Cliente295,,3450
Cliente296,41,4920
Cliente297,52,
Cliente298,43,4960
Cliente299,44,4980
Cliente300,,3000
,41,3515
Cliente302,47,3040
Cliente303,48,3060
Cliente304,49,3080
Cliente305,,3050
Cliente306,51,3120
Cliente307,52,3140
,48,3620
Cliente309,54,3180
Cliente310,,3100
Cliente311,56,3220
Cliente312,57,3240
Cliente313,58,3260
Cliente314,59,3280
Cliente315,,3150
Cliente316,61,3320
Cliente317,62,3340
Cliente318,63,3360
Cliente319,44,
Cliente320,,3200
Cliente321,26,3420
,22,3830
Cliente323,28,3460
Cliente324,29,3480
Cliente325,,3250
Cliente326,31,3520
Cliente327,32,3540
Cliente328,33,3560
,29,3935
Cliente330,,3300
Cliente331,36,3620
Cliente332,37,3640
Cliente333,38,3660
Cliente334,39,3680
Cliente335,,3350
,36,4040
Cliente337,42,3740
Cliente338,43,3760
Cliente339,44,3780
Cliente340,,3400
Cliente341,36,
Cliente342,47,3840
,43,4145
Cliente344,49,3880
Cliente345,,3450
Cliente346,51,3920
Cliente347,52,3940
Cliente348,53,3960
Cliente349,54,3980
Cliente350,,3000
Cliente351,56,4020
Cliente352,47,
Cliente353,58,4060
Cliente354,59,4080
Cliente355,,3050
Cliente356,61,4120
,57,4355
Cliente358,63,4160
Cliente359,64,4180
Cliente360,,3100
Cliente361,26,4220
Cliente362,27,4240
Cliente363,28,
,24,3560
Cliente365,,3150
Cliente366,31,4320
Cliente367,32,4340
Cliente368,33,4360
Cliente369,34,4380
Cliente370,,3200
,31,3665
Cliente372,37,4440
Cliente373,38,4460
Cliente374,39,
Cliente375,,3250
Cliente376,41,4520
Cliente377,42,4540
,38,3770
Cliente379,44,4580
Cliente380,,3300
Cliente381,46,4620
Cliente382,47,4640
Cliente383,48,4660
Cliente384,49,4680
Cliente385,,3350
Cliente386,51,4720
Cliente387,52,4740
Cliente388,53,4760
Cliente389,54,4780
Cliente390,,3400
Cliente391,56,4820
,52,3980
Cliente393,58,4860
Cliente394,59,4880
Cliente395,,3450
Cliente396,31,
Cliente397,62,4940
Cliente398,63,4960
,59,4085
Cliente400,,3000
Cliente401,26,3020
Cliente402,27,3040
Cliente403,28,3060
Cliente404,29,3080
Cliente405,,3050
,26,4190
Cliente407,42,
Cliente408,33,3160
Cliente409,34,3180
Cliente410,,3100
Cliente411,36,3220
Cliente412,37,3240
,33,4295
Cliente414,39,3280
Cliente415,,3150
Cliente416,41,3320
Cliente417,42,3340
Cliente418,53,
Cliente419,44,3380
Cliente420,,3200
Cliente421,46,3420
Cliente422,47,3440
Cliente423,48,3460
Cliente424,49,3480
Cliente425,,3250
Cliente426,51,3520
,47,3605
Cliente428,53,3560
Cliente429,34,
Cliente430,,3300
Cliente431,56,3620
Cliente432,57,3640
Cliente433,58,3660
,54,3710
Cliente435,,3350
Cliente436,61,3720
Cliente437,62,3740
Cliente438,63,3760
Cliente439,64,3780
Cliente440,,3400
,21,3815
Cliente442,27,3840
Cliente443,28,3860
Cliente444,29,3880
Cliente445,,3450
Cliente446,31,3920
Cliente447,32,3940
,28,3920
Cliente449,34,3980
Cliente450,,3000
Cliente451,26,
Cliente452,37,4040
Cliente453,38,4060
Cliente454,39,4080
Cliente455,,3050
Cliente456,41,4120
Cliente457,42,4140
Cliente458,43,4160
Cliente459,44,4180
Cliente460,,3100
Cliente461,46,4220
,42,4130
Cliente463,48,4260
Cliente464,49,4280
Cliente465,,3150
Cliente466,51,4320
Cliente467,52,4340
Cliente468,53,4360
,49,4235
Cliente470,,3200
Cliente471,56,4420
Cliente472,57,4440
Cliente473,48,
Cliente474,59,4480
Cliente475,,3250
,56,4340
Cliente477,62,4540
Cliente478,63,4560
Cliente479,64,4580
Cliente480,,3300
Cliente481,26,4620
Cliente482,27,4640
,23,3545
Cliente484,29,
Cliente485,,3350
Cliente486,31,4720
Cliente487,32,4740
Cliente488,33,4760
Cliente489,34,4780
Cliente490,,3400
Cliente491,36,4820
Cliente492,37,4840
Cliente493,38,4860
Cliente494,39,4880
Cliente495,,3450
Cliente496,41,4920
,37,3755
Cliente498,43,4960
Cliente499,44,4980
Cliente500,,3000
Cliente501,46,3020
Cliente502,47,3040
Cliente503,48,3060
,44,3860
Cliente505,,3050
Cliente506,51,
Cliente507,52,3140
Cliente508,53,3160
Cliente509,54,3180
Cliente510,,3100
,51,3965
Cliente512,57,3240
Cliente513,58,3260
Cliente514,59,3280
Cliente515,,3150
Cliente516,61,3320
Cliente517,32,
,58,4070
Cliente519,64,3380
Cliente520,,3200
Cliente521,26,3420
Cliente522,27,3440
Cliente523,28,3460
Cliente524,29,3480
Cliente525,,3250
Cliente526,31,3520
Cliente527,32,3540
Cliente528,43,
Cliente529,34,3580
Cliente530,,3300
Cliente531,36,3620
,32,4280
Cliente533,38,3660
Cliente534,39,3680
Cliente535,,3350
Cliente536,41,3720
Cliente537,42,3740
Cliente538,43,3760
,39,4385
Cliente540,,3400
Cliente541,46,3820
Cliente542,47,3840
Cliente543,48,3860
Cliente544,49,3880
Cliente545,,3450
,46,3590
Cliente547,52,3940
Cliente548,53,3960
Cliente549,54,3980
Cliente550,,3000
Cliente551,56,4020
Cliente552,57,4040
,53,3695
Cliente554,59,4080
Cliente555,,3050
Cliente556,61,4120
Cliente557,62,4140
Cliente558,63,4160
Cliente559,64,4180
Cliente560,,3100
Cliente561,46,
Cliente562,27,4240
Cliente563,28,4260
Cliente564,29,4280
Cliente565,,3150
Cliente566,31,4320
,27,3905
Cliente568,33,4360
Cliente569,34,4380
Cliente570,,3200
Cliente571,36,4420
Cliente572,27,
Cliente573,38,4460
,34,4010
Cliente575,,3250
Cliente576,41,4520
Cliente577,42,4540
Cliente578,43,4560
Cliente579,44,4580
Cliente580,,3300
,41,4115
Cliente582,47,4640
Cliente583,38,
Cliente584,49,4680
Cliente585,,3350
Cliente586,51,4720
Cliente587,52,4740
,48,4220
Cliente589,54,4780
Cliente590,,3400
Cliente591,56,4820
Cliente592,57,4840
Cliente593,58,4860
Cliente594,49,
Cliente595,,3450
Cliente596,61,4920
Cliente597,62,4940
Cliente598,63,4960
Cliente599,64,4980
Cliente600,,3000
Cliente601,26,3020
,22,3530
Cliente603,28,3060
Cliente604,29,3080
Cliente605,,3050
Cliente606,31,3120
Cliente607,32,3140
Cliente608,33,3160
,29,3635
Cliente610,,3100
Cliente611,36,3220
Cliente612,37,3240
Cliente613,38,3260
Cliente614,39,3280
Cliente615,,3150
,36,3740
Cliente617,42,3340
Cliente618,43,3360
Cliente619,44,3380
Cliente620,,3200
Cliente621,46,3420
Cliente622,47,3440
,43,3845
Cliente624,49,3480
Cliente625,,3250
Cliente626,51,3520
Cliente627,52,
Cliente628,53,3560
Cliente629,54,3580
Cliente630,,3300
Cliente631,56,3620
Cliente632,57,3640
Cliente633,58,3660
Cliente634,59,3680
Cliente635,,3350
Cliente636,61,3720
,57,4055
Cliente638,33,
Cliente639,64,3780
Cliente640,,3400
Cliente641,26,3820
Cliente642,27,3840
Cliente643,28,3860
,24,4160
Cliente645,,3450
Cliente646,31,3920
Cliente647,32,3940
Cliente648,33,3960
Cliente649,44,
Cliente650,,3000
,31,4265
Cliente652,37,4040
Cliente653,38,4060
Cliente654,39,4080
Cliente655,,3050
Cliente656,41,4120
Cliente657,42,4140
,38,4370
Cliente659,44,4180
Cliente660,,3100
Cliente661,46,4220
Cliente662,47,4240
Cliente663,48,4260
Cliente664,49,4280
Cliente665,,3150
Cliente666,51,4320
Cliente667,52,4340
Cliente668,53,4360
Cliente669,54,4380
Cliente670,,3200
Cliente671,36,
,52,3680
Cliente673,58,4460
Cliente674,59,4480
Cliente675,,3250
Cliente676,61,4520
Cliente677,62,4540
Cliente678,63,4560
,59,3785
Cliente680,,3300
Cliente681,26,4620
Cliente682,47,
Cliente683,28,4660
Cliente684,29,4680
Cliente685,,3350
,26,3890
Cliente687,32,4740
Cliente688,33,4760
Cliente689,34,4780
Cliente690,,3400
Cliente691,36,4820
Cliente692,37,4840
,33,3995
Cliente694,39,4880
Cliente695,,3450
Cliente696,41,4920
Cliente697,42,4940
Cliente698,43,4960
Cliente699,44,4980
Cliente700,,3000
Cliente701,46,3020
Cliente702,47,3040
Cliente703,48,3060
Cliente704,39,
Cliente705,,3050
Cliente706,51,3120
,47,4205
Cliente708,53,3160
Cliente709,54,3180
Cliente710,,3100
Cliente711,56,3220
Cliente712,57,3240
Cliente713,58,3260
,54,4310
Cliente715,,3150
Cliente716,61,3320
Cliente717,62,3340
Cliente718,63,3360
Cliente719,64,3380
Cliente720,,3200
,21,3515
Cliente722,27,3440
Cliente723,28,3460
Cliente724,29,3480
Cliente725,,3250
Cliente726,31,
Cliente727,32,3540
,28,3620
Cliente729,34,3580
Cliente730,,3300
Cliente731,36,3620
Cliente732,37,3640
Cliente733,38,3660
Cliente734,39,3680
Cliente735,,3350
Cliente736,41,3720
Cliente737,42,
Cliente738,43,3760
Cliente739,44,3780
Cliente740,,3400
Cliente741,46,3820
,42,3830
Cliente743,48,3860
Cliente744,49,3880
Cliente745,,3450
Cliente746,51,3920
Cliente747,52,3940
Cliente748,53,
,49,3935
Cliente750,,3000
Cliente751,56,4020
Cliente752,57,4040
Cliente753,58,4060
Cliente754,59,4080
Cliente755,,3050
,56,4040
Cliente757,62,4140
Cliente758,63,4160
Cliente759,34,
Cliente760,,3100
Cliente761,26,4220
Cliente762,27,4240
,23,4145
Cliente764,29,4280
Cliente765,,3150
Cliente766,31,4320
Cliente767,32,4340
Cliente768,33,4360
Cliente769,34,4380
Cliente770,,3200
Cliente771,36,4420
Cliente772,37,4440
Cliente773,38,4460
Cliente774,39,4480
Cliente775,,3250
Cliente776,41,4520
,37,4355
Cliente778,43,4560
Cliente779,44,4580
Cliente780,,3300
Cliente781,26,
Cliente782,47,4640
Cliente783,48,4660
,44,3560
Cliente785,,3350
Cliente786,51,4720
Cliente787,52,4740
Cliente788,53,4760
Cliente789,54,4780
Cliente790,,3400
,51,3665
Cliente792,37,
Cliente793,58,4860
Cliente794,59,4880
Cliente795,,3450
Cliente796,61,4920
Cliente797,62,4940
,58,3770
Cliente799,64,4980
Cliente800,,3000
Cliente801,26,3020
Cliente802,27,3040
Cliente803,48,
Cliente804,29,3080
Cliente805,,3050
Cliente806,31,3120
Cliente807,32,3140
Cliente808,33,3160
Cliente809,34,3180
Cliente810,,3100
Cliente811,36,3220
,32,3980
Cliente813,38,3260
Cliente814,29,
Cliente815,,3150
Cliente816,41,3320
Cliente817,42,3340
Cliente818,43,3360
,39,4085
Cliente820,,3200
Cliente821,46,3420
Cliente822,47,3440
Cliente823,48,3460
Cliente824,49,3480
Cliente825,,3250
,46,4190
Cliente827,52,3540
Cliente828,53,3560
Cliente829,54,3580
Cliente830,,3300
Cliente831,56,3620
Cliente832,57,3640
,53,4295
Cliente834,59,3680
Cliente835,,3350
Cliente836,51,
Cliente837,62,3740
Cliente838,63,3760
Cliente839,64,3780
Cliente840,,3400
Cliente841,26,3820
Cliente842,27,3840
Cliente843,28,3860
Cliente844,29,3880
Cliente845,,3450
Cliente846,31,3920
,27,3605
Cliente848,33,3960
Cliente849,34,3980
Cliente850,,3000
Cliente851,36,4020
Cliente852,37,4040
Cliente853,38,4060
,34,3710
Cliente855,,3050
Cliente856,41,4120
Cliente857,42,4140
Cliente858,43,
Cliente859,44,4180
Cliente860,,3100
,41,3815
Cliente862,47,4240
Cliente863,48,4260
Cliente864,49,4280
Cliente865,,3150
Cliente866,51,4320
Cliente867,52,4340
,48,3920
Cliente869,54,
Cliente870,,3200
Cliente871,56,4420
Cliente872,57,4440
Cliente873,58,4460
Cliente874,59,4480
Cliente875,,3250
Cliente876,61,4520
Cliente877,62,4540
Cliente878,63,4560
Cliente879,64,4580
Cliente880,,3300
Cliente881,26,4620
,22,4130
Cliente883,28,4660
Cliente884,29,4680
Cliente885,,3350
Cliente886,31,4720
Cliente887,32,4740
Cliente888,33,4760
,29,4235
Cliente890,,3400
Cliente891,46,
Cliente892,37,4840
Cliente893,38,4860
Cliente894,39,4880
Cliente895,,3450
,36,4340
Cliente897,42,4940
Cliente898,43,4960
Cliente899,44,4980
Cliente900,,3000
Cliente901,46,3020
Cliente902,27,
,43,3545
Cliente904,49,3080
Cliente905,,3050
Cliente906,51,3120
Cliente907,52,3140
Cliente908,53,3160
Cliente909,54,3180
Cliente910,,3100
Cliente911,56,3220
Cliente912,57,3240
Cliente913,38,
Cliente914,59,3280
Cliente915,,3150
Cliente916,61,3320
,57,3755
Cliente918,63,3360
Cliente919,64,3380
Cliente920,,3200
Cliente921,26,3420
Cliente922,27,3440
Cliente923,28,3460
,24,3860
Cliente925,,3250
Cliente926,31,3520
Cliente927,32,3540
Cliente928,33,3560
Cliente929,34,3580
Cliente930,,3300
,31,3965
Cliente932,37,3640
Cliente933,38,3660
Cliente934,39,3680
Cliente935,,3350
Cliente936,41,3720
Cliente937,42,3740
,38,4070
Cliente939,44,3780
Cliente940,,3400
Cliente941,46,3820
Cliente942,47,3840
Cliente943,48,3860
Cliente944,49,3880
Cliente945,,3450
Cliente946,41,
Cliente947,52,3940
Cliente948,53,3960
Cliente949,54,3980
Cliente950,,3000
Cliente951,56,4020
,52,4280
Cliente953,58,4060
Cliente954,59,4080
Cliente955,,3050
Cliente956,61,4120
Cliente957,52,
Cliente958,63,4160
,59,4385
Cliente960,,3100
Cliente961,26,4220
Cliente962,27,4240
Cliente963,28,4260
Cliente964,29,4280
Cliente965,,3150
,26,3590
Cliente967,32,4340
Cliente968,33,
Cliente969,34,4380
Cliente970,,3200
Cliente971,36,4420
Cliente972,37,4440
,33,3695
Cliente974,39,4480
Cliente975,,3250
Cliente976,41,4520
Cliente977,42,4540
Cliente978,43,4560
Cliente979,44,
Cliente980,,3300
Cliente981,46,4620
Cliente982,47,4640
Cliente983,48,4660
Cliente984,49,4680
Cliente985,,3350
Cliente986,51,4720
,47,3905
Cliente988,53,4760
Cliente989,54,4780
Cliente990,,3400
Cliente991,56,4820
Cliente992,57,4840
Cliente993,58,4860
,54,4010
Cliente995,,3450
Cliente996,61,4920
Cliente997,62,4940
Cliente998,63,4960
Cliente999,64,4980
Cliente1000,,3000
,21,4115
Cliente1002,27,3040
Cliente1003,28,3060
Cliente1004,29,3080
Cliente1005,,3050
Cliente1006,31,3120
Cliente1007,32,3140
,28,4220
Cliente1009,34,3180
Cliente1010,,3100
Cliente1011,36,3220
Cliente1012,47,
Cliente1013,38,3260
Cliente1014,39,3280
Cliente1015,,3150
Cliente1016,41,3320
Cliente1017,42,3340
Cliente1018,43,3360
Cliente1019,44,3380
Cliente1020,,3200
Cliente1021,46,3420
,42,3530
Cliente1023,28,
Cliente1024,49,3480
Cliente1025,,3250
Cliente1026,51,3520
Cliente1027,52,3540
Cliente1028,53,3560
,49,3635
Cliente1030,,3300
Cliente1031,56,3620
Cliente1032,57,3640
Cliente1033,58,3660
Cliente1034,39,
Cliente1035,,3350
,56,3740
Cliente1037,62,3740
Cliente1038,63,3760
Cliente1039,64,3780
Cliente1040,,3400
Cliente1041,26,3820
Cliente1042,27,3840
,23,3845
Cliente1044,29,3880
Cliente1045,,3450
Cliente1046,31,3920
Cliente1047,32,3940
Cliente1048,33,3960
Cliente1049,34,3980
Cliente1050,,3000
Cliente1051,36,4020
Cliente1052,37,4040
Cliente1053,38,4060
Cliente1054,39,4080
Cliente1055,,3050
Cliente1056,31,
,37,4055
Cliente1058,43,4160
Cliente1059,44,4180
Cliente1060,,3100
Cliente1061,46,4220
Cliente1062,47,4240
Cliente1063,48,4260
,44,4160
Cliente1065,,3150
Cliente1066,51,4320
Cliente1067,42,
Cliente1068,53,4360
Cliente1069,54,4380
Cliente1070,,3200
,51,4265
Cliente1072,57,4440
Cliente1073,58,4460
Cliente1074,59,4480
Cliente1075,,3250
Cliente1076,61,4520
Cliente1077,62,4540
,58,4370
Cliente1079,64,4580
Cliente1080,,3300
Cliente1081,26,4620
Cliente1082,27,4640
Cliente1083,28,4660
Cliente1084,29,4680
Cliente1085,,3350
Cliente1086,31,4720
Cliente1087,32,4740
Cliente1088,33,4760
Cliente1089,34,
Cliente1090,,3400
Cliente1091,36,4820
,32,3680
Cliente1093,38,4860
Cliente1094,39,4880
Cliente1095,,3450
Cliente1096,41,4920
Cliente1097,42,4940
Cliente1098,43,4960
,39,3785
Cliente1100,,3000
Cliente1101,46,3020
Cliente1102,47,3040
Cliente1103,48,3060
Cliente1104,49,3080
Cliente1105,,3050
,46,3890
Cliente1107,52,3140
Cliente1108,53,3160
Cliente1109,54,3180
Cliente1110,,3100
Cliente1111,26,
Cliente1112,57,3240
,53,3995
Cliente1114,59,3280
Cliente1115,,3150
Cliente1116,61,3320
Cliente1117,62,3340
Cliente1118,63,3360
Cliente1119,64,3380
Cliente1120,,3200
Cliente1121,26,3420
Cliente1122,37,
Cliente1123,28,3460
Cliente1124,29,3480
Cliente1125,,3250
Cliente1126,31,3520
,27,4205
Cliente1128,33,3560
Cliente1129,34,3580
Cliente1130,,3300
Cliente1131,36,3620
Cliente1132,37,3640
Cliente1133,48,
,34,4310
Cliente1135,,3350
Cliente1136,41,3720
Cliente1137,42,3740
Cliente1138,43,3760
Cliente1139,44,3780
Cliente1140,,3400
,41,3515
Cliente1142,47,3840
Cliente1143,48,3860
Cliente1144,29,
Cliente1145,,3450
Cliente1146,51,3920
Cliente1147,52,3940
,48,3620
Cliente1149,54,3980
Cliente1150,,3000
Cliente1151,56,4020
Cliente1152,57,4040
Cliente1153,58,4060
Cliente1154,59,4080
Cliente1155,,3050
Cliente1156,61,4120
Cliente1157,62,4140
Cliente1158,63,4160
Cliente1159,64,4180
Cliente1160,,3100
Cliente1161,26,4220
,22,3830
Cliente1163,28,4260
Cliente1164,29,4280
Cliente1165,,3150
Cliente1166,51,
Cliente1167,32,4340
Cliente1168,33,4360
,29,3935
Cliente1170,,3200
Cliente1171,36,4420
Cliente1172,37,4440
Cliente1173,38,4460
Cliente1174,39,4480
Cliente1175,,3250
,36,4040
Cliente1177,32,
Cliente1178,43,4560
Cliente1179,44,4580
Cliente1180,,3300
Cliente1181,46,4620
Cliente1182,47,4640
,43,4145
Cliente1184,49,4680
Cliente1185,,3350
Cliente1186,51,4720
Cliente1187,52,4740
Cliente1188,43,
Cliente1189,54,4780
Cliente1190,,3400
Cliente1191,56,4820
Cliente1192,57,4840
Cliente1193,58,4860
Cliente1194,59,4880
Cliente1195,,3450
Cliente1196,61,4920
,57,4355
Cliente1198,63,4960
Cliente1199,54,
Cliente1200,,3000
Cliente1201,26,3020
Cliente1202,27,3040
Cliente1203,28,3060
,24,3560
Cliente1205,,3050
Cliente1206,31,3120
Cliente1207,32,3140
Cliente1208,33,3160
Cliente1209,34,3180
Cliente1210,,3100
,31,3665
Cliente1212,37,3240
Cliente1213,38,3260
Cliente1214,39,3280
Cliente1215,,3150
Cliente1216,41,3320
Cliente1217,42,3340
,38,3770
Cliente1219,44,3380
Cliente1220,,3200
Cliente1221,46,
Cliente1222,47,3440
Cliente1223,48,3460
Cliente1224,49,3480
Cliente1225,,3250
Cliente1226,51,3520
Cliente1227,52,3540
Cliente1228,53,3560
Cliente1229,54,3580
Cliente1230,,3300
Cliente1231,56,3620
,52,3980
Cliente1233,58,3660
Cliente1234,59,3680
Cliente1235,,3350
Cliente1236,61,3720
Cliente1237,62,3740
Cliente1238,63,3760
,59,4085
Cliente1240,,3400
Cliente1241,26,3820
Cliente1242,27,3840
Cliente1243,38,
Cliente1244,29,3880
Cliente1245,,3450
,26,4190
Cliente1247,32,3940
Cliente1248,33,3960
Cliente1249,34,3980
Cliente1250,,3000
Cliente1251,36,4020
Cliente1252,37,4040
,33,4295
Cliente1254,49,
Cliente1255,,3050
Cliente1256,41,4120
Cliente1257,42,4140
Cliente1258,43,4160
Cliente1259,44,4180
Cliente1260,,3100
Cliente1261,46,4220
Cliente1262,47,4240
Cliente1263,48,4260
Cliente1264,49,4280
Cliente1265,,3150
Cliente1266,51,4320
,47,3605
Cliente1268,53,4360
Cliente1269,54,4380
Cliente1270,,3200
Cliente1271,56,4420
Cliente1272,57,4440
Cliente1273,58,4460
,54,3710
Cliente1275,,3250
Cliente1276,41,
Cliente1277,62,4540
Cliente1278,63,4560
Cliente1279,64,4580
Cliente1280,,3300
,21,3815
Cliente1282,27,4640
Cliente1283,28,4660
Cliente1284,29,4680
Cliente1285,,3350
Cliente1286,31,4720
Cliente1287,52,
,28,3920
Cliente1289,34,4780
Cliente1290,,3400
Cliente1291,36,4820
Cliente1292,37,4840
Cliente1293,38,4860
Cliente1294,39,4880
Cliente1295,,3450
Cliente1296,41,4920
Cliente1297,42,4940
Cliente1298,33,
Cliente1299,44,4980
Cliente1300,,3000
Cliente1301,46,3020
,42,4130
Cliente1303,48,3060
Cliente1304,49,3080
Cliente1305,,3050
Cliente1306,51,3120
Cliente1307,52,3140
Cliente1308,53,3160
,49,4235
Cliente1310,,3100
Cliente1311,56,3220
Cliente1312,57,3240
Cliente1313,58,3260
Cliente1314,59,3280
Cliente1315,,3150
,56,4340
Cliente1317,62,3340
Cliente1318,63,3360
Cliente1319,64,3380
Cliente1320,,3200
Cliente1321,26,3420
Cliente1322,27,3440
,23,3545
Cliente1324,29,3480
Cliente1325,,3250
Cliente1326,31,3520
Cliente1327,32,3540
Cliente1328,33,3560
Cliente1329,34,3580
Cliente1330,,3300
Cliente1331,36,
Cliente1332,37,3640
Cliente1333,38,3660
Cliente1334,39,3680
Cliente1335,,3350
Cliente1336,41,3720
,37,3755
Cliente1338,43,3760
Cliente1339,44,3780
Cliente1340,,3400
Cliente1341,46,3820
Cliente1342,47,
Cliente1343,48,3860
,44,3860
Cliente1345,,3450
Cliente1346,51,3920
Cliente1347,52,3940
Cliente1348,53,3960
Cliente1349,54,3980
Cliente1350,,3000
,51,3965
Cliente1352,57,4040
Cliente1353,28,
